Title,Description,Content Type,Genres
Single Ladies Senior,Four best friends and spirited career women navigate the treacherous world of romance â even as it stands in the way of work and friendship.,TV Show,"International TV Shows, Romantic TV Shows, TV Dramas"
Single Wives,"Looking for a second chance at love, four formerly married women are put in various romantic situations then receive feedback from a dating coach.",TV Show,"Reality TV, Romantic TV Shows"
Singles Villa,"In a luxurious condominium complex with draconian rules forbidding all romance, two residents fall in love and dare to start a secret relationship.",TV Show,"International TV Shows, Romantic TV Shows, TV Dramas"
Sinister 2,"A single mother and her twin sons move into a rural house, unaware of its history of being inhabited by an evil spirit that preys upon young children.",Movie,Horror Movies
Sintonia,"Three teens living in the same SÃ£o Paulo favela pursue their dreams while maintaining their friendship, amid a world of music, drugs and religion.",TV Show,"Crime TV Shows, International TV Shows, TV Dramas"
Sir No Sir,This documentary chronicles the largely forgotten antiwar activities of American GIs and other members of the military during the Vietnam era.,Movie,Documentaries
Sirius the Jaeger,"In imperial Tokyo, a group calling themselves ""Jaegers"" secretly hunt the vampires seeking the Ark of Sirius. Among them is young werewolf, Yuliy.",TV Show,"Anime Series, International TV Shows, TV Thrillers"
Sister Cities,"After years of estrangement, four sisters gather in the wake of their mother's death, which may or may not have been a suicide.",Movie,Dramas
Sister Sister,"Separated at birth, twin sisters Tia Landry and Tamera Campbell reunite after 14 years and soon move in together, blending families and personalities.",TV Show,"TV Comedies, Teen TV Shows"
Sisterakas,"Two half siblings separated by family conflict cross paths as adults at a fashion agency â but one of them has a vendetta, unbeknownst to the other.",Movie,"Comedies, International Movies"
Sisters,Her dad's deathbed confession leads Julia to discover she has more than 100 brothers and two sisters: troubled TV star Roxy and uptight lawyer Edie.,TV Show,"International TV Shows, TV Comedies, TV Dramas"
Sisters on Track,Three track star sisters face obstacles in life and in competition as they pursue Junior Olympic dreams in this extraordinary coming of age journey.,Movie,"Documentaries, Sports Movies"
Sisyphus,An unfathomable incident introduces a genius engineer to dangerous secrets of the world â and to a woman from the future who's come looking for him.,TV Show,"International TV Shows, TV Action & Adventure, TV Dramas"
Sitara Let Girls Dream,"In this silent short set in 1970s Pakistan, 14-year-old Pari longs to be a pilot, unaware that her father plans to marry her off to a much older man.",Movie,"Children & Family Movies, Dramas"
Sitting in Limbo,"After living 50 years in the UK, Anthony Bryan is wrongfully detained by the government and threatened with deportation. Based on true events.",Movie,Dramas
Six Windows in the Desert,"From a theatre play to the aftermath of a plane crash, this collection of shorts from Saudi filmmakers depicts the nuances of Saudi Arabian culture.",TV Show,TV Shows
Skater Girl,"When a teen in rural India discovers a life-changing passion for skateboarding, she faces a rough road as she follows her dream to compete.",Movie,"Children & Family Movies, Dramas, International Movies"
Skin,"On a quest to find beauty in all complexions, actress Beverly Naya travels to her home country of Nigeria and explores colorism's impact on society.",Movie,"Documentaries, International Movies"
Skin Decision Before and After,Skin and beauty expert Nurse Jamie and plastic surgeon Dr. Sheila Nazarian use the latest procedures to bring out their clients' best selves.,TV Show,"Reality TV, Science & Nature TV"
Skins,"Deformed, disfigured characters must find a way to deal with society shunning their differences in this darkly comic social drama.",Movie,"Dramas, International Movies"
Sky Ladder The Art of Cai GuoQiang,"Known for his spectacular pyrotechnic displays, Chinese artist Cai Guo-Qiang creates his most ambitious project yet in this breathtaking documentary.",Movie,Documentaries
Sky Rojo,A fatal turn of events at a brothel sends three women haunted by their pasts on a wild run from their pimp and his henchmen.,TV Show,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure"
Sky Tour The Movie,"From the preparations to the performances, this documentary showcases Vietnamese pop idol SÆ¡n TÃ¹ng M-TP and the passion behind his Sky Tour concerts.",Movie,"Documentaries, International Movies, Music & Musicals"
Skylanders Academy,Travel the vast Skylander universe in this animated series as a ragtag group of academy graduates build trust and heart in their fight against evil.,TV Show,"Kids' TV, TV Comedies"
Skylines,A hip-hop producer gets hurled into the violent world of organized crime when the record label he signs to becomes the center of a deadly drug business.,TV Show,"Crime TV Shows, International TV Shows, TV Dramas"
Skylines,"When a mysterious alien virus begins to endanger humanity, an elite team of soldiers launches into space to end the threat for good.",Movie,Action & Adventure
Slam,"Teen father-to-be Sam imagines his future as a young parent and finds a surprising mentor while reading about his idol, pro skateboarder Tony Hawk.",Movie,"Comedies, Dramas, International Movies"
Slasher,Rampaging serial killers leave carnage in their wake as their next victims fight to stay alive in this horror anthology series.,TV Show,"TV Horror, TV Mysteries, TV Thrillers"
Sleepless,"A Las Vegas cop attempts to rob a drug shipment from a casino kingpin, but the heist goes horribly wrong, leading to the kidnapping of his son.",Movie,Action & Adventure
Sleepless Society Bedtime Wishes,"During a holiday stay at a hotel resort, a flight attendant encounters a wealthy, mysterious man with two different personas.",TV Show,"Crime TV Shows, International TV Shows, TV Dramas"
Sleepless Society Insomnia,"Haunted by recurring visions, a young woman with insomnia visits an old home to solve a mystery and put her nightmares to an end.",TV Show,"Crime TV Shows, International TV Shows, TV Dramas"
Sleepless Society Nyctophobia,"Following the death of her child, a grief-stricken woman struggles to find peace until a mysterious boy appears, claiming to be her reincarnated son.",TV Show,"International TV Shows, TV Mysteries, TV Thrillers"
Sleepless Society Two Pillows  A Lost Soul,A motivational speaker about to divorce her abusive husband wakes up from a wild party one morning to find a dead body.,TV Show,"Crime TV Shows, International TV Shows, TV Dramas"
Sleight,"Struggling to raise his little sister on his own, a young street magician turns to drug dealing, unaware of how ruthless his supplier can be.",Movie,"Dramas, Independent Movies, Sci-Fi & Fantasy"
Slow Country,"Desperate to leave a life of prostitution, a teenage mother attempts to outsmart her ruthless boss who is determined to keep his prized asset.",Movie,"Dramas, International Movies"
Small Chops,"When a business mogul hires an exotic dancer for a weekend of entertainment, it quickly morphs into a messy situation full of misunderstanding.",Movie,"Dramas, International Movies, Romantic Movies"
Small Crimes,"After serving a six-year prison sentence, an ex-cop tries to rebuild his life in his hometown, but gets caught up in the fallout from his past.",Movie,"Dramas, Thrillers"
Small Town Crime,"When a disgraced ex-cop discovers a dying woman, he's compelled to track down her killer â an act of self-redemption that takes him down a dark path.",Movie,Thrillers
Smoke  Mirrors,"Betrayed by the Spanish government he once served, a former secret agent plots to steal millions of dollars embezzled by a corrupt public official.",Movie,"Dramas, International Movies, Thrillers"
Smoking,"Seeking a greater justice, a band of homeless assassins flays their human targets and delivers the tattooed skins as proof of a contract fulfilled.",TV Show,"Crime TV Shows, International TV Shows, TV Action & Adventure"
Sneakerheads,Family man Devin falls back into his sneaker obsession after his pal Bobby talks him into a wheeling-dealing scheme to score a mythical pair of kicks.,TV Show,TV Comedies
Sniper Ghost Shooter,Snipers ordered to protect a gas pipeline from terrorists suspect a security breach when they're targeted by a ghost shooter who knows their location.,Movie,Action & Adventure
Sniper Legacy,"When a troubled sniper begins killing officers he blames for a bungled mission, elite marksman Brandon Beckett sets out to neutralize the threat.",Movie,Action & Adventure
Snow Day,"When a snow day shuts down the whole town, the Wheeler family cuts loose. Hal makes a play for the most popular girl in his school, 10-year-old Natalie takes on the dreaded snowplow man, and Dad gets into a showdown with a rival meteorologist.",Movie,"Children & Family Movies, Comedies"
Snowden,This thriller traces Edward Snowden's journey from Army recruit to disillusioned government analyst bent on exposing vast U.S. surveillance programs.,Movie,"Dramas, Thrillers"
